iter	RMSE
0	0.97629308
1	0.9536948684
2	0.9337233617
3	0.916506276
4	0.9023170421
5	0.8904040137
6	0.8795998117
7	0.8698445636
8	0.8612248673
9	0.8538507239
10	0.8479106471
11	0.8421765193
12	0.8370792111
13	0.8318291254
14	0.8275403346
15	0.8241938483
16	0.8217679951
17	0.818768902
18	0.8155763771
19	0.8136041762
20	0.8116802785
21	0.8092434833
22	0.8071330619
23	0.8056887059
24	0.8041700798
25	0.8028413974
26	0.8015907847
27	0.8005739403
28	0.7990215764
29	0.7971861314
30	0.7961730955
31	0.7952387357
32	0.7944102255
33	0.7934287583
34	0.7927586711
35	0.7918012581
36	0.7911159044
37	0.7905684516
38	0.789827584
39	0.7891099604
40	0.7885434057
41	0.7879283238
42	0.7868034998
43	0.786061275
44	0.7855322052
45	0.78450901
46	0.7839005612
47	0.7833423988
48	0.7827410165
49	0.7821701577
50	0.7816304672
51	0.7808410944
52	0.780003799
53	0.779451091
54	0.7789721578
55	0.7785357687
56	0.7781831321
57	0.7779430967
58	0.7775731154
59	0.7770645594
60	0.7765790957
61	0.7761762274
62	0.7756769553
63	0.7752810502
64	0.7749342956
65	0.7745950073
66	0.7741520071
67	0.7738118075
68	0.7732193106
69	0.7729559808
70	0.7726871604
71	0.772525363
72	0.7722362766
73	0.7718900256
74	0.7715998403
75	0.7712936124
76	0.7709322549
77	0.7705217879
78	0.7702362504
79	0.7698412352
80	0.7696641153
81	0.769360622
82	0.7690828444
83	0.7686143336
84	0.7681627478
85	0.7678906389
86	0.7675569521
87	0.7669864679
88	0.7666501929
89	0.7663782847
90	0.7660590025
91	0.7657040664
92	0.7653936703
93	0.7649173228
94	0.7646227517
95	0.7642385309
96	0.7639817058
97	0.7636109348
98	0.7633249132
99	0.7629541026
