iter	Passed	Remaining
0	53	5278
1	54	2669
2	55	1793
3	56	1357
4	57	1095
5	58	920
6	59	794
7	60	699
8	61	625
9	63	567
10	64	518
11	65	478
12	66	443
13	67	413
14	68	386
15	69	364
16	70	343
17	71	325
18	72	308
19	73	294
20	74	280
21	75	268
22	76	257
23	78	247
24	79	237
25	80	227
26	81	219
27	82	211
28	83	204
29	84	197
30	85	190
31	86	184
32	87	178
33	88	172
34	89	167
35	91	161
36	92	156
37	93	152
38	94	147
39	95	143
40	96	138
41	97	134
42	98	130
43	99	126
44	100	122
45	101	119
46	102	115
47	103	112
48	104	109
49	105	105
50	107	102
51	108	99
52	109	96
53	110	94
54	111	91
55	112	88
56	113	85
57	114	82
58	115	80
59	116	77
60	117	75
61	118	72
62	119	70
63	120	67
64	121	65
65	122	63
66	123	61
67	125	58
68	126	56
69	127	54
70	128	52
71	129	50
72	130	48
73	131	46
74	132	44
75	133	42
76	134	40
77	135	38
78	136	36
79	138	34
80	139	32
81	140	30
82	141	28
83	142	27
84	143	25
85	144	23
86	145	21
87	146	20
88	147	18
89	148	16
90	150	14
91	151	13
92	152	11
93	153	9
94	154	8
95	155	6
96	156	4
97	157	3
98	158	1
99	159	0
